total,full_pressure,zero_pressure,equipment_size,category
5.17e-05,5.247e-05,3.03e-07,12.5A,1-3mm
2.4e-05,2.28e-05,2.22e-07,12.5A,3-10mm
1.84e-05,1.48e-05,4.24e-07,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
9.4e-05,9e-05,9.49e-07,12.5A,Total
5.18e-05,5.26e-05,5.84e-07,25A,1-3mm
2.41e-05,2.28e-05,4.28e-07,25A,3-10mm
1.84e-05,1.48e-05,8.17e-07,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
9.43e-05,9.03e-05,1.83e-06,25A,Total
5.26e-05,5.34e-05,1.15e-06,50A,1-3mm
2.45e-05,2.32e-05,8.4e-07,50A,3-10mm
1.17e-05,1.02e-05,6.91e-07,50A,10-50mm
6.99e-06,4.81e-06,9.13e-07,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
9.58e-05,9.17e-05,3.59e-06,50A,Total
5.76e-05,5.85e-05,2.27e-06,100A,1-3mm
2.68e-05,2.54e-05,1.66e-06,100A,3-10mm
1.28e-05,1.12e-05,1.37e-06,100A,10-50mm
7.46e-06,5.18e-06,1.81e-06,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.000105,0.0001,7.11e-06,100A,Total
6.88e-05,6.98e-05,3.39e-06,125A,1-3mm
3.2e-05,3.03e-05,2.49e-06,125A,3-10mm
1.53e-05,1.34e-05,2.05e-06,125A,10-50mm
3.66e-06,2.94e-06,8.63e-07,125A,50-150mm
4.86e-06,3.05e-06,1.84e-06,125A,>150mm
0.000125,0.00012,1.06e-05,125A,Total
0.0001163,0.0001181,5.64e-06,250A,1-3mm
5.405e-05,5.128e-05,4.137e-06,250A,3-10mm
2.583e-05,2.261e-05,3.4e-06,250A,10-50mm
6.185e-06,4.968e-06,1.435e-06,250A,50-150mm
6.834e-06,4.462e-06,3.059e-06,250A,>150mm
0.0002092,0.0002014,1.767e-05,250A,Total
0.0002067,0.0002099,7.888e-06,350A,1-3mm
9.607e-05,9.114e-05,5.785e-06,350A,3-10mm
4.591e-05,4.02e-05,4.754e-06,350A,10-50mm
1.099e-05,8.83e-06,2.006e-06,350A,50-150mm
1.059e-05,7.154e-06,4.278e-06,350A,>150mm
0.0003703,0.0003572,2.471e-05,350A,Total
0.0004436,0.0004506,1.126e-05,500A,1-3mm
0.0002062,0.0001956,8.257e-06,500A,3-10mm
9.852e-05,8.627e-05,6.786e-06,500A,10-50mm
2.36e-05,1.895e-05,2.864e-06,500A,50-150mm
2.044e-05,1.421e-05,6.107e-06,500A,>150mm
0.0007924,0.0007656,3.527e-05,500A,Total
