total,full_pressure,zero_pressure,equipment_size,category
0.0058,0.00558,0.000132,12.5A,1-3mm
0.00246,0.00232,0.000105,12.5A,3-10mm
0.00144,0.0013,0.000262,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.0097,0.0092,0.0005,12.5A,Total
0.0058,0.00558,0.000132,25A,1-3mm
0.00246,0.00232,0.000105,25A,3-10mm
0.00144,0.0013,0.000262,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.0097,0.0092,0.0005,25A,Total
0.0058,0.00558,0.000132,50A,1-3mm
0.00246,0.00232,0.000105,50A,3-10mm
0.00106,0.000969,9.52e-05,50A,10-50mm
0.000377,0.000331,0.000167,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.0097,0.0092,0.0005,50A,Total
0.0058,0.00558,0.000132,100A,1-3mm
0.00246,0.00232,0.000105,100A,3-10mm
0.00106,0.000969,9.52e-05,100A,10-50mm
0.000377,0.000331,0.000167,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.0097,0.0092,0.0005,100A,Total
0.0058,0.00558,0.000132,125A,1-3mm
0.00246,0.00232,0.000105,125A,3-10mm
0.00106,0.000969,9.52e-05,125A,10-50mm
0.000226,0.000201,4.43e-05,125A,50-150mm
0.000152,0.00013,0.000123,125A,>150mm
0.0097,0.0092,0.0005,125A,Total
