total,full_pressure,zero_pressure,equipment_size,category
0.000559,0.000542,6.08e-06,12.5A,1-3mm
0.000177,0.000168,4.21e-06,12.5A,3-10mm
7.51e-05,7.02e-05,7.8e-06,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.000811,0.00078,1.81e-05,12.5A,Total
0.000559,0.000543,7.71e-06,25A,1-3mm
0.000177,0.000168,5.34e-06,25A,3-10mm
7.52e-05,7.03e-05,9.63e-06,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.000811,0.000781,2.27e-05,25A,Total
0.000561,0.000544,9.93e-06,50A,1-3mm
0.000177,0.000169,6.88e-06,50A,3-10mm
5.4e-05,5.03e-05,5.28e-06,50A,10-50mm
2.13e-05,2.02e-05,6.84e-06,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.000814,0.000784,2.89e-05,50A,Total
0.000557,0.000549,1.29e-05,100A,1-3mm
0.000179,0.00017,8.96e-06,100A,3-10mm
5.45e-05,5.07e-05,6.87e-06,100A,10-50mm
2.14e-05,2.03e-05,8.61e-06,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.000811,0.00079,3.74e-05,100A,Total
0.000571,0.000554,1.52e-05,125A,1-3mm
0.000181,0.000172,1.05e-05,125A,3-10mm
5.5e-05,5.12e-05,8.06e-06,125A,10-50mm
8.03e-06,7.29e-06,3.17e-06,125A,50-150mm
1.35e-05,1.31e-05,6.75e-06,125A,>150mm
0.000828,0.000797,4.37e-05,125A,Total
0.000586,0.000567,1.86e-05,250A,1-3mm
0.000189,0.000176,1.29e-05,250A,3-10mm
6.23e-05,5.24e-05,9.89e-06,250A,10-50mm
1.14e-05,7.46e-06,3.89e-06,250A,50-150mm
2.12e-05,1.31e-05,8.05e-06,250A,>150mm
0.000869,0.000816,5.33e-05,250A,Total
0.000603,0.000582,2.13e-05,350A,1-3mm
0.000195,0.000181,1.48e-05,350A,3-10mm
6.51e-05,5.38e-05,1.13e-05,350A,10-50mm
1.21e-05,7.66e-06,4.46e-06,350A,50-150mm
2.23e-05,1.32e-05,9.09e-06,350A,>150mm
0.000898,0.000837,6.1e-05,350A,Total
0.000633,0.000608,2.47e-05,500A,1-3mm
0.000206,0.000189,1.71e-05,500A,3-10mm
6.93e-05,5.62e-05,1.31e-05,500A,10-50mm
1.32e-05,8.01e-06,5.17e-06,500A,50-150mm
2.37e-05,1.34e-05,1.04e-05,500A,>150mm
0.000945,0.000874,7.05e-05,500A,Total
