total,full_pressure,zero_pressure,equipment_size,category
0.00285,0.00233,0.000235,12.5A,1-3mm
0.00164,0.00146,0.000163,12.5A,3-10mm
0.00171,0.00181,0.000263,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.0062,0.0056,0.00066,12.5A,Total
0.00285,0.00233,0.000235,25A,1-3mm
0.00164,0.00146,0.000163,25A,3-10mm
0.00171,0.00181,0.000263,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.0062,0.0056,0.00066,25A,Total
0.00285,0.00233,0.000235,50A,1-3mm
0.00164,0.00146,0.000163,50A,3-10mm
0.00101,0.00181,0.000263,50A,10-50mm
0.000693,0.0,0.0,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.0062,0.0056,0.00066,50A,Total
0.00285,0.00233,0.000235,100A,1-3mm
0.00164,0.00146,0.000163,100A,3-10mm
0.00101,0.00181,0.000263,100A,10-50mm
0.000693,0.0,0.0,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.0062,0.0056,0.00066,100A,Total
0.00285,0.00233,0.000235,125A,1-3mm
0.00164,0.00146,0.000163,125A,3-10mm
0.00101,0.00181,0.000263,125A,10-50mm
0.000693,0.0,0.0,125A,50-150mm
0.0,0.0,0.0,125A,>150mm
0.0062,0.0056,0.00066,125A,Total
